Year,Team,Record,Winning Percentage
2015-16,Celtics,48-34,0.585
2014-15,Celtics,40-42,0.488
2013-14,Celtics,25-57,0.305
2012-13,Celtics,41-40,0.506
2011-12 *,Celtics,39-27,0.591
2010-11,Celtics,56-26,0.683
2009-10,Celtics,50-32,0.61
2008-09,Celtics,62-20,0.756
2007-08,Celtics,66-16,0.805
2006-07,Celtics,24-58,0.293
2015-16,Hawks,48-34,0.585
2014-15,Hawks,60-22,0.732
2013-14,Hawks,38-44,0.463
2012-13,Hawks,44-38,0.537
2011-12 *,Hawks,40-26,0.606
2010-11,Hawks,44-38,0.537
2009-10,Hawks,53-29,0.646
2008-09,Hawks,47-35,0.573
2007-08,Hawks,37-45,0.451
2006-07,Hawks,30-52,0.366
2015-16,Nets,21-61,0.256
2014-15,Nets,38-44,0.463
2013-14,Nets,44-38,0.537
2012-13,Nets,49-33,0.598
2011-12 *,Nets,22-44,0.333
2010-11,Nets,24-58,0.293
2009-10,Nets,12-70,0.146
2008-09,Nets,34-48,0.415
2007-08,Nets,34-48,0.415
2006-07,Nets,41-41,0.5
2015-16,Hornets,48-34,0.585
2014-15,Hornets,33-49,0.402
2013-14,Bobcats,43-39,0.524
2012-13,Bobcats,21-61,0.256
2011-12 *,Bobcats,7-59,0.106
2010-11,Bobcats,34-48,0.415
2009-10,Bobcats,44-38,0.537
2008-09,Bobcats,35-47,0.427
2007-08,Bobcats,32-50,0.39
2006-07,Bobcats,33-49,0.402
2015-16,Bulls,42-40,0.512
2014-15,Bulls,50-32,0.61
2013-14,Bulls,48-34,0.585
2012-13,Bulls,45-37,0.549
2011-12 *,Bulls,50-16,0.758
2010-11,Bulls,62-20,0.756
2009-10,Bulls,41-41,0.5
2008-09,Bulls,41-41,0.5
2007-08,Bulls,33-49,0.402
2006-07,Bulls,49-33,0.598
2015-16,Cavaliers,57-25,0.695
2014-15,Cavaliers,53-29,0.646
2013-14,Cavaliers,33-49,0.402
2012-13,Cavaliers,24-58,0.293
2011-12 *,Cavaliers,21-45,0.318
2010-11,Cavaliers,19-63,0.232
2009-10,Cavaliers,61-21,0.744
2008-09,Cavaliers,66-16,0.805
2007-08,Cavaliers,45-37,0.549
2006-07,Cavaliers,50-32,0.61
2015-16,Mavericks,42-40,0.512
2014-15,Mavericks,50-32,0.61
2013-14,Mavericks,49-33,0.598
2012-13,Mavericks,41-41,0.5
2011-12 *,Mavericks,36-30,0.545
2010-11,Mavericks,57-25,0.695
2009-10,Mavericks,55-27,0.671
2008-09,Mavericks,50-32,0.61
2007-08,Mavericks,51-31,0.622
2006-07,Mavericks,67-15,0.817
2015-16,Nuggets,33-49,0.402
2014-15,Nuggets,30-52,0.366
2013-14,Nuggets,36-46,0.439
2012-13,Nuggets,57-25,0.695
2011-12 *,Nuggets,38-28,0.576
2010-11,Nuggets,50-32,0.61
2009-10,Nuggets,53-29,0.646
2008-09,Nuggets,54-28,0.659
2007-08,Nuggets,50-32,0.61
2006-07,Nuggets,45-37,0.549
2015-16,Pistons,44-38,0.537
2014-15,Pistons,32-50,0.39
2013-14,Pistons,29-53,0.354
2012-13,Pistons,29-53,0.354
2011-12 *,Pistons,25-41,0.379
2010-11,Pistons,30-52,0.366
2009-10,Pistons,27-55,0.329
2008-09,Pistons,39-43,0.476
2007-08,Pistons,59-23,0.72
2006-07,Pistons,53-29,0.646
2015-16,Warriors,73-9,0.89
2014-15,Warriors,67-15,0.817
2013-14,Warriors,51-31,0.622
2012-13,Warriors,47-35,0.573
2011-12 *,Warriors,23-43,0.348
2010-11,Warriors,36-46,0.439
2009-10,Warriors,26-56,0.317
2008-09,Warriors,29-53,0.354
2007-08,Warriors,48-34,0.585
2006-07,Warriors,42-40,0.512
2015-16,Rockets,41-41,0.5
2014-15,Rockets,56-26,0.683
2013-14,Rockets,54-28,0.659
2012-13,Rockets,45-37,0.549
2011-12 *,Rockets,34-32,0.515
2010-11,Rockets,43-39,0.524
2009-10,Rockets,42-40,0.512
2008-09,Rockets,53-29,0.646
2007-08,Rockets,55-27,0.671
2006-07,Rockets,52-30,0.634
2015-16,Pacers,45-37,0.549
2014-15,Pacers,38-44,0.463
2013-14,Pacers,56-26,0.683
2012-13,Pacers,49-32,0.605
2011-12 *,Pacers,42-24,0.636
2010-11,Pacers,37-45,0.451
2009-10,Pacers,32-50,0.39
2008-09,Pacers,36-46,0.439
2007-08,Pacers,36-46,0.439
2006-07,Pacers,35-47,0.427
2015-16,Clippers,53-29,0.646
2014-15,Clippers,56-26,0.683
2013-14,Clippers,57-25,0.695
2012-13,Clippers,56-26,0.683
2011-12 *,Clippers,40-26,0.606
2010-11,Clippers,32-50,0.39
2009-10,Clippers,29-53,0.354
2008-09,Clippers,19-63,0.232
2007-08,Clippers,23-59,0.28
2006-07,Clippers,40-42,0.488
2015-16,Lakers,17-65,0.207
2014-15,Lakers,21-61,0.256
2013-14,Lakers,27-55,0.329
2012-13,Lakers,45-37,0.549
2011-12 *,Lakers,41-25,0.621
2010-11,Lakers,57-25,0.695
2009-10,Lakers,57-25,0.695
2008-09,Lakers,65-17,0.793
2007-08,Lakers,57-25,0.695
2006-07,Lakers,42-40,0.512
2015-16,Grizzlies,42-40,0.512
2014-15,Grizzlies,55-27,0.671
2013-14,Grizzlies,50-32,0.61
2012-13,Grizzlies,56-26,0.683
2011-12 *,Grizzlies,41-25,0.621
2010-11,Grizzlies,46-36,0.561
2009-10,Grizzlies,40-42,0.488
2008-09,Grizzlies,24-58,0.293
2007-08,Grizzlies,22-60,0.268
2006-07,Grizzlies,22-60,0.268
2015-16,Heat,48-34,0.585
2014-15,Heat,37-45,0.451
2013-14,Heat,54-28,0.659
2012-13,Heat,66-16,0.805
2011-12 *,Heat,46-20,0.697
2010-11,Heat,58-24,0.707
2009-10,Heat,47-35,0.573
2008-09,Heat,43-39,0.524
2007-08,Heat,15-67,0.183
2006-07,Heat,44-38,0.537
2015-16,Bucks,33-49,0.402
2014-15,Bucks,41-41,0.5
2013-14,Bucks,15-67,0.183
2012-13,Bucks,38-44,0.463
2011-12 *,Bucks,31-35,0.47
2010-11,Bucks,35-47,0.427
2009-10,Bucks,46-36,0.561
2008-09,Bucks,34-48,0.415
2007-08,Bucks,26-56,0.317
2006-07,Bucks,28-54,0.341
2015-16,Timberwolves,29-53,0.354
2014-15,Timberwolves,16-66,0.195
2013-14,Timberwolves,40-42,0.488
2012-13,Timberwolves,31-51,0.378
2011-12 *,Timberwolves,26-40,0.394
2010-11,Timberwolves,17-65,0.207
2009-10,Timberwolves,15-67,0.183
2008-09,Timberwolves,24-58,0.293
2007-08,Timberwolves,22-60,0.268
2006-07,Timberwolves,32-50,0.39
2015-16,Pelicans,30-52,0.366
2014-15,Pelicans,45-37,0.549
2013-14,Pelicans,34-48,0.415
2012-13,Hornets,27-55,0.329
2011-12 *,Hornets,21-45,0.318
2010-11,Hornets,46-36,0.561
2009-10,Hornets,37-45,0.451
2008-09,Hornets,49-33,0.598
2007-08,Hornets,56-26,0.683
2006-07,Hornets,39-43,0.476
2014-15,Knicks,17-65,0.207
2013-14,Knicks,37-45,0.451
2012-13,Knicks,54-28,0.659
2011-12 *,Knicks,36-30,0.545
2010-11,Knicks,42-40,0.512
2009-10,Knicks,29-53,0.354
2008-09,Knicks,32-50,0.39
2007-08,Knicks,23-59,0.28
2006-07,Knicks,33-49,0.402
2015-16,Thunder,55-27,0.671
2014-15,Thunder,45-37,0.549
2013-14,Thunder,59-23,0.72
2012-13,Thunder,60-22,0.732
2011-12 *,Thunder,47-19,0.712
2010-11,Thunder,55-27,0.671
2009-10,Thunder,50-32,0.61
2008-09,Thunder,23-59,0.28
2007-08,Supersonics,20-62,0.244
2006-07,Supersonics,31-51,0.378
2015-16,Magic,35-47,0.427
2014-15,Magic,25-57,0.305
2013-14,Magic,23-59,0.28
2012-13,Magic,20-62,0.244
2011-12 *,Magic,37-29,0.561
2010-11,Magic,52-30,0.634
2009-10,Magic,59-23,0.72
2008-09,Magic,59-23,0.72
2007-08,Magic,52-30,0.634
2006-07,Magic,40-42,0.488
2015-16,76ers,10-72,0.122
2014-15,76ers,18-64,0.22
2013-14,76ers,19-63,0.232
2012-13,76ers,34-48,0.415
2011-12 *,76ers,35-31,0.53
2010-11,76ers,41-41,0.5
2009-10,76ers,27-55,0.329
2008-09,76ers,41-41,0.5
2007-08,76ers,40-42,0.488
2006-07,76ers,35-47,0.427
2015-16,Suns,23-59,0.28
2014-15,Suns,39-43,0.476
2013-14,Suns,48-34,0.585
2012-13,Suns,25-57,0.305
2011-12 *,Suns,33-33,0.5
2010-11,Suns,40-42,0.488
2009-10,Suns,54-28,0.659
2008-09,Suns,46-36,0.561
2007-08,Suns,55-27,0.671
2006-07,Suns,61-21,0.744
2015-16,Trail Blazers,44-38,0.537
2014-15,Trail Blazers,51-31,0.622
2013-14,Trail Blazers,54-28,0.659
2012-13,Trail Blazers,33-49,0.402
2011-12 *,Trail Blazers,28-38,0.424
2010-11,Trail Blazers,48-34,0.585
2009-10,Trail Blazers,50-32,0.61
2008-09,Trail Blazers,54-28,0.659
2007-08,Trail Blazers,41-41,0.5
2006-07,Trail Blazers,32-50,0.39
2015-16,Kings,33-49,0.402
2014-15,Kings,29-53,0.354
2013-14,Kings,28-54,0.341
2012-13,Kings,28-54,0.341
2011-12 *,Kings,22-44,0.333
2010-11,Kings,24-58,0.293
2009-10,Kings,25-57,0.305
2008-09,Kings,17-65,0.207
2007-08,Kings,38-44,0.463
2006-07,Kings,33-49,0.402
2015-16,Spurs,67-15,0.817
2014-15,Spurs,55-27,0.671
2013-14,Spurs,62-20,0.756
2012-13,Spurs,58-24,0.707
2011-12 *,Spurs,50-16,0.758
2010-11,Spurs,61-21,0.744
2009-10,Spurs,50-32,0.61
2008-09,Spurs,54-28,0.659
2007-08,Spurs,56-26,0.683
2006-07,Spurs,58-24,0.707
2015-16,Raptors,56-26,0.683
2014-15,Raptors,49-33,0.598
2013-14,Raptors,48-34,0.585
2012-13,Raptors,34-48,0.415
2011-12 *,Raptors,23-43,0.348
2010-11,Raptors,22-60,0.268
2009-10,Raptors,40-42,0.488
2008-09,Raptors,33-49,0.402
2007-08,Raptors,41-41,0.5
2006-07,Raptors,47-35,0.573
2015-16,Jazz,40-42,0.488
2014-15,Jazz,38-44,0.463
2013-14,Jazz,25-57,0.305
2012-13,Jazz,43-39,0.524
2011-12 *,Jazz,36-30,0.545
2010-11,Jazz,39-43,0.476
2009-10,Jazz,53-29,0.646
2008-09,Jazz,48-34,0.585
2007-08,Jazz,54-28,0.659
2006-07,Jazz,51-31,0.622
2015-16,Wizards,41-41,0.5
2014-15,Wizards,46-36,0.561
2013-14,Wizards,44-38,0.537
2012-13,Wizards,29-53,0.354
2011-12 *,Wizards,20-46,0.303
2010-11,Wizards,23-59,0.28
2009-10,Wizards,26-56,0.317
2008-09,Wizards,19-63,0.232
2007-08,Wizards,43-39,0.524
2006-07,Wizards,41-41,0.5
